INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (1, 53, 33, '2022-05-04T17:53:44', '99531.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (2, 35, 29, '2022-06-30T20:48:09', '16401.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (3, 1, 54, '2022-06-07T02:22:10', '70536.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (5, 90, 30, '2022-07-27T10:10:41', '43185.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (4, 25, 23, '2022-05-24T13:58:42', '94290.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (6, 0, 55, '2022-11-05T19:19:29', '45223.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (8, 35, 4, '2021-12-05T04:40:41', '31637.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (7, 5, 47, '2022-03-19T16:20:00', '14104.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (11, 12, 23, '2022-10-10T14:48:34', '3977.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (10, 35, 28, '2022-08-23T16:21:46', '24002.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (13, 19, 12, '2022-06-02T18:14:28', '53626.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (12, 37, 94, '2022-10-06T23:50:55', '82467.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (15, 87, 84, '2021-12-22T16:22:47', '78302.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (14, 29, 69, '2022-11-15T12:44:03', '21778.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (17, 63, 92, '2021-12-17T10:35:38', '46672.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (16, 35, 54, '2022-08-27T01:18:33', '34389.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (19, 26, 25, '2022-02-10T01:01:38', '8586.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (18, 100, 62, '2022-02-20T18:39:06', '3550.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (9, 56, 13, '2022-08-29T06:18:04', '23486.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (20, 89, 55, '2021-12-13T15:33:04', '66587.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (22, 43, 40, '2022-09-14T12:45:13', '24019.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (21, 68, 4, '2022-08-08T14:01:30', '10754.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (24, 26, 18, '2022-03-24T06:11:10', '28650.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (26, 37, 100, '2022-03-11T23:00:01', '81703.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (23, 12, 94, '2022-03-26T17:40:17', '80193.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (28, 53, 5, '2021-12-30T21:56:35', '84986.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (27, 37, 33, '2022-03-05T12:57:29', '24836.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (25, 39, 18, '2022-06-22T20:15:09', '44562.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (31, 47, 34, '2022-06-02T15:11:59', '72013.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (29, 54, 28, '2022-06-28T20:22:35', '76165.00')
